person,personLabel,birthDate,birthPlaceLabel,deathDate,genderLabel,occupationLabel,educationLabel,biography,source
http://www.wikidata.org/entity/Q44004,Јани Макрадули,1965-02-28,Битола,,машки,политичар,Универзитет „Св. Кирил и Методиј“,"Роден на 1965-02-28 во Битола, Јани Макрадули работи како политичар. Образованието го стекнал на Универзитет „Св. Кирил и Методиј“.",original
http://www.wikidata.org/entity/Q57436,Ѓорге Иванов,1960-05-02,Валандово,,машки,политичар,Универзитет „Св. Кирил и Методиј“,"Роден на 1960-05-02 во Валандово, Ѓорге Иванов работи како политичар. Образованието го стекнал на Универзитет „Св. Кирил и Методиј“.",original
http://www.wikidata.org/entity/Q57436,Ѓорге Иванов,1960-05-02,Валандово,,машки,уредник,Универзитет „Св. Кирил и Методиј“,"Ѓорге Иванов, роден во Валандово на 1960-05-02, е уредник. Образованието го завршил на Универзитет „Св. Кирил и Методиј“.",original
http://www.wikidata.org/entity/Q57436,Ѓорге Иванов,1960-05-02,Валандово,,машки,универзитетски професор,Универзитет „Св. Кирил и Методиј“,"Ѓорге Иванов, роден во Валандово на 1960-05-02, е универзитетски професор. Образованието го завршил на Универзитет „Св. Кирил и Методиј“.",original
http://www.wikidata.org/entity/Q57766,Никола Груевски,1970-08-31,Скопје,,машки,политичар,Универзитет „Св. Кирил и Методиј“,Никола Груевски е роден на 1970-08-31 во Скопје. По професија е политичар. Образованието го стекнал на Универзитет „Св. Кирил и Методиј“.,original
http://www.wikidata.org/entity/Q57766,Никола Груевски,1970-08-31,Скопје,,машки,економист,Универзитет „Св. Кирил и Методиј“,Никола Груевски е економист со образование од Универзитет „Св. Кирил и Методиј“. Роден е на 1970-08-31 во Скопје.,original
http://www.wikidata.org/entity/Q57766,Никола Груевски,1970-08-31,Скопје,,машки,политичар,Универзитет „Св. Климент Охридски“ - Битола,"Никола Груевски е политичар. Роден е на 1970-08-31 во Скопје, образование: Универзитет „Св. Климент Охридски“ - Битола.",original
http://www.wikidata.org/entity/Q57766,Никола Груевски,1970-08-31,Скопје,,машки,економист,Универзитет „Св. Климент Охридски“ - Битола,Никола Груевски е економист со образование од Универзитет „Св. Климент Охридски“ - Битола. Роден е на 1970-08-31 во Скопје.,original
http://www.wikidata.org/entity/Q58110,Никола Попоски,1977-10-24,Скопје,,машки,политичар,Универзитет „Св. Кирил и Методиј“,Никола Попоски е роден на 1977-10-24 во Скопје. По професија е политичар. Образованието го стекнал на Универзитет „Св. Кирил и Методиј“.,original
http://www.wikidata.org/entity/Q58110,Никола Попоски,1977-10-24,Скопје,,машки,економист,Универзитет „Св. Кирил и Методиј“,"Никола Попоски, роден во Скопје на 1977-10-24, е економист. Образованието го завршил на Универзитет „Св. Кирил и Методиј“.",original
http://www.wikidata.org/entity/Q58110,Никола Попоски,1977-10-24,Скопје,,машки,дипломат,Универзитет „Св. Кирил и Методиј“,Никола Попоски е дипломат со образование од Универзитет „Св. Кирил и Методиј“. Роден е на 1977-10-24 во Скопје.,original
http://www.wikidata.org/entity/Q58110,Никола Попоски,1977-10-24,Скопје,,машки,политичар,Q1109135,"Никола Попоски, роден во Скопје на 1977-10-24, е политичар. Образованието го завршил на Q1109135.",original
http://www.wikidata.org/entity/Q58110,Никола Попоски,1977-10-24,Скопје,,машки,економист,Q1109135,"Роден на 1977-10-24 во Скопје, Никола Попоски работи како економист. Образованието го стекнал на Q1109135.",original
http://www.wikidata.org/entity/Q58110,Никола Попоски,1977-10-24,Скопје,,машки,дипломат,Q1109135,Никола Попоски е роден на 1977-10-24 во Скопје. По професија е дипломат. Образованието го стекнал на Q1109135.,original
http://www.wikidata.org/entity/Q58110,Никола Попоски,1977-10-24,Скопје,,машки,политичар,Q1198571,"Никола Попоски, роден во Скопје на 1977-10-24, е политичар. Образованието го завршил на Q1198571.",original
http://www.wikidata.org/entity/Q58110,Никола Попоски,1977-10-24,Скопје,,машки,економист,Q1198571,Никола Попоски е економист со образование од Q1198571. Роден е на 1977-10-24 во Скопје.,original
http://www.wikidata.org/entity/Q58110,Никола Попоски,1977-10-24,Скопје,,машки,дипломат,Q1198571,"Никола Попоски е дипломат. Роден е на 1977-10-24 во Скопје, образование: Q1198571.",original
http://www.wikidata.org/entity/Q59479,Иван Џепароски,1958-05-09,Скопје,,машки,писател,Универзитет „Св. Кирил и Методиј“,"Роден на 1958-05-09 во Скопје, Иван Џепароски работи како писател. Образованието го стекнал на Универзитет „Св. Кирил и Методиј“.",original
http://www.wikidata.org/entity/Q59479,Иван Џепароски,1958-05-09,Скопје,,машки,поет,Универзитет „Св. Кирил и Методиј“,"Иван Џепароски е поет. Роден е на 1958-05-09 во Скопје, образование: Универзитет „Св. Кирил и Методиј“.",original
http://www.wikidata.org/entity/Q59479,Иван Џепароски,1958-05-09,Скопје,,машки,преведувач,Универзитет „Св. Кирил и Методиј“,Иван Џепароски е преведувач со образование од Универзитет „Св. Кирил и Методиј“. Роден е на 1958-05-09 во Скопје.,original
http://www.wikidata.org/entity/Q59508,Цветанка Органџиева,1923-01-01,Велес,2018-01-01,женски,Q15976341,Загрепски универзитет,"Цветанка Органџиева е Q15976341. Родена е на 1923-01-01 во Велес, образование: Загрепски универзитет. Починала на 2018-01-01.",original
http://www.wikidata.org/entity/Q59946,Вера Чејковска,1954-10-16,Скопје,2018-11-19,женски,писател,Универзитет „Св. Кирил и Методиј“,Вера Чејковска е родена на 1954-10-16 во Скопје. По професија е писател. Образованието го стекнала на Универзитет „Св. Кирил и Методиј“. Починала на 2018-11-19.,original
http://www.wikidata.org/entity/Q59946,Вера Чејковска,1954-10-16,Скопје,2018-11-19,женски,поет,Универзитет „Св. Кирил и Методиј“,"Родена на 1954-10-16 во Скопје, Вера Чејковска работи како поет. Образованието го стекнала на Универзитет „Св. Кирил и Методиј“. Починала на 2018-11-19.",original
http://www.wikidata.org/entity/Q59948,Дејан Дуковски,1969-01-01,Скопје,,машки,сценарист,Универзитет „Св. Кирил и Методиј“,"Дејан Дуковски е сценарист. Роден е на 1969-01-01 во Скопје, образование: Универзитет „Св. Кирил и Методиј“.",original
http://www.wikidata.org/entity/Q59948,Дејан Дуковски,1969-04-26,Скопје,,машки,сценарист,Универзитет „Св. Кирил и Методиј“,Дејан Дуковски е сценарист со образование од Универзитет „Св. Кирил и Методиј“. Роден е на 1969-04-26 во Скопје.,original
http://www.wikidata.org/entity/Q59948,Дејан Дуковски,1969-01-01,Скопје,,машки,драматург,Универзитет „Св. Кирил и Методиј“,Дејан Дуковски е роден на 1969-01-01 во Скопје. По професија е драматург. Образованието го стекнал на Универзитет „Св. Кирил и Методиј“.,original
